tempo,resistencia,banana,grau
10,16.3,Amanda,1
20,20,Amanda,1
30,22.6,Amanda,1
40,24,Amanda,1
50,26,Amanda,1
60,27,Amanda,1
70,28.7,Amanda,1
80,30.1,Amanda,1
90,30.7,Amanda,1
100,31.7,Amanda,1
110,32.4,Amanda,1
120,35.3,Amanda,1
130,33.4,Amanda,1
140,34.5,Amanda,1
150,35.9,Amanda,1
160,37.8,Amanda,1
170,37.8,Amanda,1
180,38,Amanda,1
190,38.2,Amanda,1
200,38.3,Amanda,1
210,38.9,Amanda,1
220,39.1,Amanda,1
230,39.3,Amanda,1
240,40,Amanda,1
30,40.2,Safira,4
60,66.5,Safira,4
90,88.7,Safira,4
120,11.8,Safira,4
150,134.8,Safira,4
180,153.6,Safira,4
210,166.5,Safira,4
240,174.2,Safira,4
30,58.2,Tiffany,4
60,70.1,Tiffany,4
90,82.2,Tiffany,4
120,93.2,Tiffany,4
150,101.7,Tiffany,4
180,108.8,Tiffany,4
210,114.7,Tiffany,4
240,119.1,Tiffany,4
30,37.4,Lauriane,1
60,47.1,Lauriane,1
90,52.4,Lauriane,1
120,56.8,Lauriane,1
150,61.4,Lauriane,1
180,63.5,Lauriane,1
210,64.5,Lauriane,1
240,63.5,Lauriane,1
30,31.9,Otavia 2,1
60,36.7,Otavia 2,1
90,38.8,Otavia 2,1
120,39.9,Otavia 2,1
150,40,Otavia 2,1
180,39.8,Otavia 2,1
210,38.4,Otavia 2,1
240,37.3,Otavia 2,1
30,28.6,Mariana 2,3
60,35.5,Mariana 2,3
90,40.7,Mariana 2,3
120,44,Mariana 2,3
150,45.9,Mariana 2,3
180,47.7,Mariana 2,3
210,47.5,Mariana 2,3
240,45.8,Mariana 2,3
30,20.8,Sandra,3
60,26.4,Sandra,3
90,29.8,Sandra,3
120,31.8,Sandra,3
150,33.7,Sandra,3
180,34.5,Sandra,3
210,34.9,Sandra,3
240,35.2,Sandra,3
30,55.9,Sueli,3
60,59.7,Sueli,3
90,64.1,Sueli,3
120,68.5,Sueli,3
150,72.6,Sueli,3
180,76.5,Sueli,3
210,82.9,Sueli,3
240,88.2,Sueli,3
30,42.7,Fatima,3
60,42.7,Fatima,3
90,43.4,Fatima,3
120,44.6,Fatima,3
150,45.6,Fatima,3
180,46.3,Fatima,3
210,46.8,Fatima,3
240,46.9,Fatima,3
30,33.7,Eduarda,5
60,40.0,Eduarda,5
90,44.2,Eduarda,5
120,46.8,Eduarda,5
150,48.6,Eduarda,5
180,50.1,Eduarda,5
210,52.2,Eduarda,5
240,54.3,Eduarda,5
30,61.9,Seariane,5
60,69.6,Seariane,5
90,71.9,Seariane,5
120,74.2,Seariane,5
150,76.2,Seariane,5
180,80.2,Seariane,5
210,79.7,Seariane,5
240,84.9,Seariane,5
30,61.7,Jennifer Lopez,5
60,60.7,Jennifer Lopez,5
90,48.6,Jennifer Lopez,5
120,30.3,Jennifer Lopez,5
150,28.7,Jennifer Lopez,5
180,28.7,Jennifer Lopez,5
210,27.9,Jennifer Lopez,5
240,28.0,Jennifer Lopez,5
30,109.3,Ciariane,5
60,90.5,Ciariane,5
90,90.9,Ciariane,5
120,92.4,Ciariane,5
150,88.6,Ciariane,5
180,87.1,Ciariane,5
210,85.2,Ciariane,5
240,84.8,Ciariane,5
30,32.8,Luiza Sonza,2
60,40.3,Luiza Sonza,2
90,41.3,Luiza Sonza,2
120,43,Luiza Sonza,2
150,45.1,Luiza Sonza,2
180,46.6,Luiza Sonza,2
210,48.7,Luiza Sonza,2
240,50.6,Luiza Sonza,2
30,34.8,Josefa,2
60,38.5,Josefa,2
90,40,Josefa,2
120,40.9,Josefa,2
150,41.8,Josefa,2
180,42.7,Josefa,2
210,44.1,Josefa,2
240,46.2,Josefa,2
30,23.5,Ana Banana,4
60,43.2,Ana Banana,4
90,55.9,Ana Banana,4
120,60.5,Ana Banana,4
150,64.2,Ana Banana,4
180,67.6,Ana Banana,4
210,69.6,Ana Banana,4
240,67.5,Ana Banana,4
30,33.4,Agata,2
60,43.9,Agata,2
90,49.6,Agata,2
120,53.2,Agata,2
150,55.6,Agata,2
180,57.3,Agata,2
210,58.4,Agata,2
240,60.3,Agata,2
30,50.6,Samantha,2
60,60.9,Samantha,2
90,64.8,Samantha,2
120,66.5,Samantha,2
150,64.4,Samantha,2
180,64.5,Samantha,2
210,65.1,Samantha,2
240,67.3,Samantha,2
