nome,r,g,b,comprimento,circunferencia,raio,area,resistencia_min,resistencia_max,resistividade,grau
Agata,175,147,38,0.062,0.104,0.016,0.00080,33400,60300,607.73,2
Amanda,119,124,30,0.062,0.099,0.0157,0.00077,16300,40000,351.59,1
AnaBanana,216,177,75,0.062,0.111,0.017,0.00091,23500,67500,666.30,4
Betania,165,169,45,0.062,0.102,0.0162,0.00082,50600,67300,783.92,1
Josefa,219,182,54,0.062,0.105,0.017,0.00091,23500,67500,666.30,2
Lauriane II,154,141,53,0.062,0.098,0.015,0.00071,31900,40000,409.86,1
LuisaSonza,194,188,58,0.062,0.103,0.016,0.00080,32800,50600,540.92,2
Mariana,211,178,50,0.062,0.103,0.016,0.00080,28600,47700,494.87,3
Otavia,166,162,28,0.062,0.099,0.015,0.00071,31900,40000,409.86,1
Samantha,181,159,39,0.062,0.104,0.0165,0.00086,50600,67300,813.22,2
Tereza,188,147,72,0.062,0.109,0.017,0.00091,17700,55600,536.70,4
Ciariane,139,103,49,0.062,
Eduarda,191,145,60,0.062,
Fatima,228,186,48,0.062,
Jennifer Lopez,94,62,27,0.062,
Sandra,211,169,46,0.062,
Seariane,117,79,36,0.062,
Sueli,217,174,42,0.062,
